split,condition_id,query_text,status,available_positive,available_negative,unknown,positive_target,negative_target,positive_pairs,negative_pairs,hard_negative_pairs,random_negative_pairs
train,CO18,バンとバイクがいる画像,below_target,45,2915,540,50,20,45,20,10,10
train,CO19,歩行者と自転車がいる画像,targets_met,276,2696,528,50,20,50,20,10,10
train,CO20,歩行者とバイクがいる画像,targets_met,90,2871,539,50,20,50,20,10,10
train,CO21,自転車とバイクがいる画像,below_target,27,2931,542,50,20,27,20,10,10
train,COL01,白い車がいる画像,targets_met,1639,216,1645,50,20,50,20,4,16
train,COL02,黒い車がいる画像,targets_met,1082,298,2120,50,20,50,20,1,19
train,COL03,赤い車がいる画像,targets_met,484,494,2522,50,20,50,20,8,12
train,COL04,青い車がいる画像,targets_met,176,549,2775,50,20,50,20,10,10
train,COL05,白いバスがいる画像,targets_met,289,2518,693,50,20,50,20,10,10
train,COL06,黒いバスがいる画像,below_target,3,2785,712,50,20,3,20,10,10
train,COL07,赤いバスがいる画像,below_target,18,2771,711,50,20,18,20,10,10
train,COL08,青いバスがいる画像,below_target,34,2756,710,50,20,34,20,10,10
train,COL09,白いトラックがいる画像,targets_met,527,2113,860,50,20,50,20,10,10
train,COL10,黒いトラックがいる画像,targets_met,57,2496,947,50,20,50,20,10,10
train,COL11,赤いトラックがいる画像,targets_met,96,2474,930,50,20,50,20,10,10
train,COL12,青いトラックがいる画像,below_target,49,2499,952,50,20,49,20,10,10
train,COL13,白いバンがいる画像,targets_met,609,2189,702,50,20,50,20,10,10
train,COL14,黒いバンがいる画像,targets_met,69,2659,772,50,20,50,20,10,10
train,COL15,赤いバンがいる画像,below_target,32,2688,780,50,20,32,20,10,10
train,COL16,青いバンがいる画像,below_target,24,2695,781,50,20,24,20,10,10
train,COL17,白い自転車がいる画像,below_target,5,2688,807,50,20,5,20,10,10
train,COL18,黒い自転車がいる画像,below_target,10,2681,809,50,20,10,20,10,10
train,COL19,赤い自転車がいる画像,below_target,4,2687,809,50,20,4,20,10,10
train,COL20,青い自転車がいる画像,below_target,24,2673,803,50,20,24,20,10,10
train,COL21,白いバイクがいる画像,below_target,7,2824,669,50,20,7,20,10,10
train,COL22,黒いバイクがいる画像,below_target,13,2817,670,50,20,13,20,10,10
train,COL23,赤いバイクがいる画像,below_target,15,2819,666,50,20,15,20,10,10
train,COL24,青いバイクがいる画像,below_target,7,2823,670,50,20,7,20,10,10
train,D01,逆走している自転車,deferred_temporal,0,0,3500,0,0,0,0,0,0
train,D02,車両の陰から歩行者が飛び出す場面,deferred_temporal,0,0,3500,0,0,0,0,0,0
train,D03,歩行者が急に車道を横断する場面,deferred_temporal,0,0,3500,0,0,0,0,0,0
train,D04,前方の車が急停止する場面,deferred_temporal,0,0,3500,0,0,0,0,0,0
train,D05,自車に車両が急接近する場面,deferred_temporal,0,0,3500,0,0,0,0,0,0
train,D06,車が信号を無視して進む場面,deferred_temporal,0,0,3500,0,0,0,0,0,0
train,ENV01,昼の道路の画像,targets_met,2410,1080,10,50,20,50,20,0,20
train,ENV02,夜の道路の画像,targets_met,1031,2459,10,50,20,50,20,0,20
train,ENV03,薄明の道路の画像,targets_met,103,3368,29,50,20,50,20,10,10
train,ENV04,晴れた道路の画像,targets_met,1350,834,1316,50,20,50,20,0,20
train,ENV05,曇りの道路の画像,targets_met,801,1469,1230,50,20,50,20,1,19
train,ENV06,雨が降っている道路の画像,targets_met,152,3232,116,50,20,50,20,10,10
train,ENV07,雪が降っている道路の画像,below_target,23,3387,90,50,20,23,20,10,10
train,ENV08,霧のある道路の画像,below_target,17,3181,302,50,20,17,20,10,10
train,H01,夜の画面左に自転車がいる画像,excluded_heldout,10,3052,438,0,0,0,0,0,0
train,H02,薄明の画面右にバイクがいる画像,excluded_heldout,0,3480,20,0,0,0,0,0,0
train,H03,霧のある道路の歩道上に歩行者がいる画像,excluded_heldout,0,3221,279,0,0,0,0,0,0
train,H04,道路の工事区間と画面右の自転車が見える画像,excluded_heldout,15,3350,135,0,0,0,0,0,0
train,H05,路面に雪があり画面左に歩行者がいる画像,excluded_heldout,32,3413,55,0,0,0,0,0,0
train,H06,路面が濡れていて画面中央にバイクがいる画像,excluded_heldout,7,3253,240,0,0,0,0,0,0
train,H07,赤信号と自車と同じ車線の車が見える画像,excluded_heldout,306,2754,440,0,0,0,0,0,0
train,H08,画面右に青い車がいる画像,excluded_heldout,40,1737,1723,0,0,0,0,0,0
train,H09,画面中央に黒いバスがいる画像,excluded_heldout,0,2874,626,0,0,0,0,0,0
train,H10,画面左に赤いトラックがいる画像,excluded_heldout,27,2774,699,0,0,0,0,0,0
train,H11,画面右に青いバンがいる画像,excluded_heldout,5,2860,635,0,0,0,0,0,0
train,H12,画面中央に白い自転車がいる画像,excluded_heldout,2,2837,661,0,0,0,0,0,0
train,H13,画面中央に赤いバイクがいる画像,excluded_heldout,7,2869,624,0,0,0,0,0,0
train,H14,画面左に後ろ姿が見えるバスがいる画像,excluded_heldout,58,2938,504,0,0,0,0,0,0
train,H15,赤い車と画面右の自転車がいる画像,excluded_heldout,19,2869,612,0,0,0,0,0,0
train,H16,白いバスと画面左の歩行者がいる画像,excluded_heldout,54,2861,585,0,0,0,0,0,0
train,H17,青いトラックと画面右のバイクがいる画像,excluded_heldout,0,2973,527,0,0,0,0,0,0
train,H18,黒いバンと画面左の自転車がいる画像,excluded_heldout,0,2964,536,0,0,0,0,0,0
train,H19,赤い自転車と画面右の歩行者がいる画像,excluded_heldout,2,2813,685,0,0,0,0,0,0
train,H20,白いバイクと画面中央の車がいる画像,excluded_heldout,3,2891,606,0,0,0,0,0,0
train,LOC01,自車と同じ車線に車がいる画像,targets_met,1858,579,1063,50,20,50,20,10,10
train,LOC02,自車の左隣の車線に車がいる画像,targets_met,1056,961,1483,50,20,50,20,10,10
train,LOC03,自車の右隣の車線に車がいる画像,targets_met,1137,963,1400,50,20,50,20,10,10
train,LOC04,対向車線に車がいる画像,targets_met,857,1115,1528,50,20,50,20,10,10
train,LOC05,自車と同じ車線にバスがいる画像,targets_met,206,2747,547,50,20,50,20,10,10
train,LOC06,自車の左隣の車線にバスがいる画像,targets_met,93,2862,545,50,20,50,20,10,10
train,LOC07,自車の右隣の車線にバスがいる画像,targets_met,136,2820,544,50,20,50,20,10,10
train,LOC08,対向車線にバスがいる画像,targets_met,53,2898,549,50,20,50,20,10,10
train,LOC09,自車と同じ車線にトラックがいる画像,targets_met,258,2590,652,50,20,50,20,10,10
train,LOC10,自車の左隣の車線にトラックがいる画像,targets_met,222,2616,662,50,20,50,20,10,10
train,LOC11,自車の右隣の車線にトラックがいる画像,targets_met,303,2557,640,50,20,50,20,10,10
train,LOC12,対向車線にトラックがいる画像,targets_met,112,2708,680,50,20,50,20,10,10
train,LOC13,自車と同じ車線にバンがいる画像,targets_met,293,2547,660,50,20,50,20,10,10
train,LOC14,自車の左隣の車線にバンがいる画像,targets_met,160,2668,672,50,20,50,20,10,10
train,LOC15,自車の右隣の車線にバンがいる画像,targets_met,207,2635,658,50,20,50,20,10,10
train,LOC16,対向車線にバンがいる画像,targets_met,81,2739,680,50,20,50,20,10,10
train,LOC17,自車と同じ車線に自転車がいる画像,targets_met,75,2741,684,50,20,50,20,10,10
train,LOC18,自車の左隣の車線に自転車がいる画像,below_target,21,2785,694,50,20,21,20,10,10
train,LOC19,自車の右隣の車線に自転車がいる画像,below_target,49,2758,693,50,20,49,20,10,10
train,LOC20,対向車線に自転車がいる画像,below_target,6,2799,695,50,20,6,20,10,10
train,LOC21,自車と同じ車線にバイクがいる画像,targets_met,78,2847,575,50,20,50,20,10,10
train,LOC22,自車の左隣の車線にバイクがいる画像,below_target,15,2910,575,50,20,15,20,10,10
train,LOC23,自車の右隣の車線にバイクがいる画像,below_target,21,2903,576,50,20,21,20,10,10
train,LOC24,対向車線にバイクがいる画像,below_target,6,2916,578,50,20,6,20,10,10
train,LOC25,歩道上に歩行者がいる画像,targets_met,769,2205,526,50,20,50,20,10,10
train,LOC26,横断歩道上に歩行者がいる画像,targets_met,196,2620,684,50,20,50,20,10,10
train,LOC27,車道上に歩行者がいる画像,targets_met,477,2398,625,50,20,50,20,10,10
train,OBJ01,車がいる画像,targets_met,3352,107,41,50,20,50,20,1,19
train,OBJ02,バスがいる画像,targets_met,537,2475,488,50,20,50,20,10,10
train,OBJ03,トラックがいる画像,targets_met,1056,1996,448,50,20,50,20,3,17
train,OBJ04,バンがいる画像,targets_met,920,2107,473,50,20,50,20,10,10
train,OBJ05,歩行者がいる画像,targets_met,1041,2007,452,50,20,50,20,8,12
train,OBJ06,自転車がいる画像,targets_met,315,2658,527,50,20,50,20,10,10
train,OBJ07,バイクがいる画像,targets_met,171,2798,531,50,20,50,20,10,10
train,ORI01,こちらに正面を向けた車がいる画像,targets_met,1295,1380,825,50,20,50,20,10,10
train,ORI02,後ろ姿が見える車がいる画像,targets_met,2900,384,216,50,20,50,20,5,15
train,ORI03,こちらに正面を向けたバスがいる画像,targets_met,72,2929,499,50,20,50,20,10,10
train,ORI04,後ろ姿が見えるバスがいる画像,targets_met,370,2638,492,50,20,50,20,10,10
train,ORI05,こちらに正面を向けたトラックがいる画像,targets_met,183,2756,561,50,20,50,20,10,10
train,ORI06,後ろ姿が見えるトラックがいる画像,targets_met,666,2345,489,50,20,50,20,10,10
train,ORI07,こちらに正面を向けたバンがいる画像,targets_met,128,2795,577,50,20,50,20,10,10
train,ORI08,後ろ姿が見えるバンがいる画像,targets_met,642,2350,508,50,20,50,20,10,10
train,ORI09,こちらに正面を向けた自転車がいる画像,below_target,41,2902,557,50,20,41,20,10,10
train,ORI10,後ろ姿が見える自転車がいる画像,targets_met,161,2793,546,50,20,50,20,10,10
train,ORI11,こちらに正面を向けたバイクがいる画像,below_target,14,2944,542,50,20,14,20,10,10
train,ORI12,後ろ姿が見えるバイクがいる画像,targets_met,114,2852,534,50,20,50,20,10,10
train,POS01,画面左に車がいる画像,targets_met,2226,863,411,50,20,50,20,10,10
train,POS02,画面中央に車がいる画像,targets_met,2817,495,188,50,20,50,20,10,10
train,POS03,画面右に車がいる画像,targets_met,1467,1307,726,50,20,50,20,10,10
train,POS04,画面左にバスがいる画像,targets_met,160,2836,504,50,20,50,20,10,10
train,POS05,画面中央にバスがいる画像,targets_met,302,2695,503,50,20,50,20,10,10
train,POS06,画面右にバスがいる画像,targets_met,119,2872,509,50,20,50,20,10,10
train,POS07,画面左にトラックがいる画像,targets_met,387,2565,548,50,20,50,20,10,10
train,POS08,画面中央にトラックがいる画像,targets_met,530,2453,517,50,20,50,20,10,10
train,POS09,画面右にトラックがいる画像,targets_met,286,2674,540,50,20,50,20,10,10
train,POS10,画面左にバンがいる画像,targets_met,314,2623,563,50,20,50,20,10,10
train,POS11,画面中央にバンがいる画像,targets_met,486,2474,540,50,20,50,20,10,10
train,POS12,画面右にバンがいる画像,targets_met,232,2698,570,50,20,50,20,10,10
train,POS13,画面左に歩行者がいる画像,targets_met,428,2469,603,50,20,50,20,10,10
train,POS14,画面中央に歩行者がいる画像,targets_met,496,2409,595,50,20,50,20,10,10
train,POS15,画面右に歩行者がいる画像,targets_met,544,2373,583,50,20,50,20,10,10
train,POS16,画面左に自転車がいる画像,targets_met,84,2872,544,50,20,50,20,10,10
train,POS17,画面中央に自転車がいる画像,targets_met,129,2829,542,50,20,50,20,10,10
train,POS18,画面右に自転車がいる画像,targets_met,131,2823,546,50,20,50,20,10,10
train,POS19,画面左にバイクがいる画像,below_target,41,2918,541,50,20,41,20,10,10
train,POS20,画面中央にバイクがいる画像,targets_met,106,2856,538,50,20,50,20,10,10
train,POS21,画面右にバイクがいる画像,below_target,36,2924,540,50,20,36,20,10,10
train,R01,緊急車両がいる画像,targets_met,43,2976,481,20,20,20,20,10,10
train,R02,列車が見える画像,below_target,9,2967,524,20,20,9,20,10,10
train,R03,動物がいる画像,below_target,18,2938,544,20,20,18,20,10,10
train,ROAD01,市街地の道路の画像,targets_met,2422,897,181,50,20,50,20,2,18
train,ROAD02,住宅街の道路の画像,targets_met,341,2635,524,50,20,50,20,0,20
train,ROAD03,高速道路の画像,targets_met,528,2873,99,50,20,50,20,5,15
train,ROAD04,田舎道の画像,targets_met,74,3321,105,50,20,50,20,10,10
train,ROAD05,トンネル内の画像,below_target,49,3438,13,50,20,49,20,10,10
train,ROAD06,橋の上の道路の画像,targets_met,486,2283,731,50,20,50,20,3,17
train,ROAD07,交差点が見える画像,targets_met,1399,1686,415,50,20,50,20,4,16
train,ROAD08,横断歩道が見える画像,targets_met,877,2503,120,50,20,50,20,10,10
train,ROAD09,道路の工事区間が見える画像,targets_met,170,3206,124,50,20,50,20,10,10
train,ROAD10,赤信号が見える画像,targets_met,671,2625,204,50,20,50,20,10,10
train,ROAD11,青信号が見える画像,targets_met,1126,2157,217,50,20,50,20,10,10
train,ROAD12,黄信号が見える画像,below_target,37,3255,208,50,20,37,20,10,10
train,ROAD13,路面が濡れている画像,targets_met,453,2898,149,50,20,50,20,1,19
train,ROAD14,路面に雪がある画像,targets_met,278,3204,18,50,20,50,20,2,18
train,ROAD15,道路がカーブしている画像,targets_met,226,2642,632,50,20,50,20,10,10
train,ROAD16,坂道の画像,below_target,42,2383,1075,50,20,42,20,10,10
train,X01,トラックより画面上で左に歩行者がいる画像,targets_met,177,2768,555,20,20,20,20,10,10
train,X02,車がちょうど2台見える画像,targets_met,414,2842,244,20,20,20,20,10,10
train,X03,歩行者が写っていない画像,targets_met,2007,1041,452,20,20,20,20,10,10
train,X04,バスまたはトラックがいる画像,targets_met,1431,1660,409,20,20,20,20,3,17
val,CA01,画面左に赤い車がいる画像,targets_met,26,188,286,5,5,5,5,3,2
val,CA02,画面右に白い車がいる画像,targets_met,82,210,208,5,5,5,5,3,2
val,CA03,画面左に白いバスがいる画像,targets_met,8,404,88,5,5,5,5,3,2
val,CA04,画面右に赤いバスがいる画像,no_positive,0,407,93,5,5,0,0,0,0
val,CA05,画面中央に青いトラックがいる画像,below_target,4,378,118,5,5,4,5,3,2
val,CA06,画面右に白いトラックがいる画像,targets_met,30,383,87,5,5,5,5,3,2
val,CA07,画面左に黒いバンがいる画像,below_target,2,401,97,5,5,2,5,3,2
val,CA08,画面中央に白いバンがいる画像,targets_met,39,357,104,5,5,5,5,3,2
val,CA09,画面右に赤い自転車がいる画像,below_target,2,400,98,5,5,2,5,3,2
val,CA10,画面左に青い自転車がいる画像,no_positive,0,403,97,5,5,0,0,0,0
val,CA11,画面右に黒いバイクがいる画像,below_target,1,412,87,5,5,1,5,3,2
val,CA12,画面左に白いバイクがいる画像,no_positive,0,405,95,5,5,0,0,0,0
val,CA13,自車と同じ車線に、こちらに正面を向けた自転車がいる画像,no_positive,0,410,90,5,5,0,0,0,0
val,CA14,自車と同じ車線に後ろ姿が見える車がいる画像,targets_met,255,129,116,5,5,5,5,3,2
val,CA15,画面右の歩道上に歩行者がいる画像,targets_met,52,354,94,5,5,5,5,3,2
val,CA16,画面左の横断歩道上に歩行者がいる画像,targets_met,8,386,106,5,5,5,5,3,2
val,CB01,赤い車と白いバスがいる画像,below_target,4,378,118,5,5,4,5,3,2
val,CB02,白い車と赤いバスがいる画像,below_target,2,393,105,5,5,2,5,3,2
val,CB03,黒い車と白いトラックがいる画像,targets_met,35,313,152,5,5,5,5,3,2
val,CB04,白い車と黒いトラックがいる画像,below_target,4,367,129,5,5,4,5,3,2
val,CB05,青いバンと赤い車がいる画像,below_target,1,392,107,5,5,1,5,3,2
val,CB06,赤いバンと青い車がいる画像,no_positive,0,391,109,5,5,0,0,0,0
val,CB07,白いバスと青いトラックがいる画像,below_target,1,410,89,5,5,1,5,3,2
val,CB08,青いバスと白いトラックがいる画像,no_positive,0,409,91,5,5,0,0,0,0
val,CB09,赤い自転車と黒いバイクがいる画像,no_positive,0,414,86,5,5,0,0,0,0
val,CB10,黒い自転車と赤いバイクがいる画像,no_positive,0,415,85,5,5,0,0,0,0
val,CB11,青い自転車と白い車がいる画像,no_positive,0,385,115,5,5,0,0,0,0
val,CB12,白い自転車と青い車がいる画像,no_positive,0,391,109,5,5,0,0,0,0
val,CB13,画面左の歩行者と画面右の自転車がいる画像,below_target,1,415,84,5,5,1,5,3,2
val,CB14,画面右の歩行者と画面左の自転車がいる画像,targets_met,5,411,84,5,5,5,5,3,2
val,CB15,画面左のバスと画面右のバイクがいる画像,no_positive,0,420,80,5,5,0,0,0,0
val,CB16,画面右のバスと画面左のバイクがいる画像,no_positive,0,420,80,5,5,0,0,0,0
val,CB17,画面中央の車と画面右のトラックがいる画像,targets_met,28,398,74,5,5,5,5,3,2
val,CB18,画面右の車と画面中央のトラックがいる画像,targets_met,36,381,83,5,5,5,5,3,2
val,CB19,画面左のバンと画面中央の歩行者がいる画像,below_target,4,408,88,5,5,4,5,3,2
val,CB20,画面中央のバンと画面左の歩行者がいる画像,targets_met,12,402,86,5,5,5,5,3,2
val,CB21,画面左の車と画面右のバスがいる画像,targets_met,12,414,74,5,5,5,5,3,2
val,CB22,画面右の車と画面左のバスがいる画像,targets_met,9,419,72,5,5,5,5,3,2
val,CB23,画面中央の自転車と画面左のバイクがいる画像,no_positive,0,417,83,5,5,0,0,0,0
val,CB24,画面左の自転車と画面中央のバイクがいる画像,below_target,1,415,84,5,5,1,5,3,2
val,CE01,夜の横断歩道上に歩行者がいる画像,targets_met,5,426,69,5,5,5,5,3,2
val,CE02,昼の横断歩道上に歩行者がいる画像,targets_met,25,442,33,5,5,5,5,3,2
val,CE03,薄明の歩道上に歩行者がいる画像,below_target,1,494,5,5,5,1,5,3,2
val,CE04,夜に自転車がいる画像,targets_met,8,426,66,5,5,5,5,3,2
val,CE05,夜にバイクがいる画像,below_target,4,427,69,5,5,4,5,3,2
val,CE06,霧の中に歩行者がいる画像,no_positive,0,458,42,5,5,0,0,0,0
val,CE07,霧の中に車がいる画像,below_target,4,453,43,5,5,4,5,3,2
val,CE08,道路の工事区間と自転車が見える画像,below_target,3,475,22,5,5,3,5,3,2
val,CE09,道路の工事区間と歩行者が見える画像,targets_met,13,467,20,5,5,5,5,3,2
val,CE10,路面に雪があり車がいる画像,targets_met,36,462,2,5,5,5,5,1,4
val,CE11,路面に雪があり歩行者がいる画像,targets_met,7,485,8,5,5,5,5,3,2
val,CE12,路面が濡れていて自転車がいる画像,below_target,4,462,34,5,5,4,5,3,2
val,CE13,路面が濡れていてバイクがいる画像,no_positive,0,464,36,5,5,0,0,0,0
val,CE14,雨が降る道路にバスがいる画像,no_positive,0,481,19,5,5,0,0,0,0
val,CE15,雨が降る道路の歩道上に歩行者がいる画像,targets_met,6,475,19,5,5,5,5,3,2
val,CE16,雪が降る道路にトラックがいる画像,no_positive,0,489,11,5,5,0,0,0,0
val,CE17,トンネル内に車がいる画像,targets_met,8,488,4,5,5,5,5,3,2
val,CE18,橋の上にトラックがいる画像,targets_met,23,410,67,5,5,5,5,3,2
val,CE19,交差点とバイクが見える画像,targets_met,9,417,74,5,5,5,5,3,2
val,CE20,赤信号と車が見える画像,targets_met,88,374,38,5,5,5,5,3,2
val,CE21,青信号と自転車が見える画像,targets_met,18,427,55,5,5,5,5,3,2
val,CE22,黄信号とバンが見える画像,targets_met,5,467,28,5,5,5,5,3,2
val,CE23,住宅街に歩行者がいる画像,targets_met,22,421,57,5,5,5,5,3,2
val,CE24,高速道路にバスがいる画像,targets_met,6,481,13,5,5,5,5,3,2
val,CO01,車とバスがいる画像,targets_met,53,366,81,10,5,10,5,2,3
val,CO02,車とトラックがいる画像,targets_met,143,288,69,10,5,10,5,3,2
val,CO03,車とバンがいる画像,targets_met,119,306,75,10,5,10,5,3,2
val,CO04,車と歩行者がいる画像,targets_met,144,284,72,10,5,10,5,3,2
val,CO05,車と自転車がいる画像,targets_met,42,377,81,10,5,10,5,3,2
val,CO06,車とバイクがいる画像,targets_met,24,392,84,10,5,10,5,3,2
val,CO07,バスとトラックがいる画像,targets_met,18,398,84,10,5,10,5,3,2
val,CO08,バスとバンがいる画像,targets_met,15,401,84,10,5,10,5,3,2
val,CO09,バスと歩行者がいる画像,targets_met,22,395,83,10,5,10,5,3,2
val,CO10,バスと自転車がいる画像,below_target,5,411,84,10,5,5,5,3,2
val,CO11,バスとバイクがいる画像,below_target,1,415,84,10,5,1,5,3,2
val,CO12,トラックとバンがいる画像,targets_met,59,360,81,10,5,10,5,3,2
val,CO13,トラックと歩行者がいる画像,targets_met,59,361,80,10,5,10,5,3,2
val,CO14,トラックと自転車がいる画像,targets_met,19,397,84,10,5,10,5,3,2
val,CO15,トラックとバイクがいる画像,below_target,6,410,84,10,5,6,5,3,2
val,CO16,バンと歩行者がいる画像,targets_met,47,372,81,10,5,10,5,3,2
val,CO17,バンと自転車がいる画像,targets_met,22,394,84,10,5,10,5,3,2
val,CO18,バンとバイクがいる画像,below_target,4,412,84,10,5,4,5,3,2
val,CO19,歩行者と自転車がいる画像,targets_met,39,380,81,10,5,10,5,3,2
val,CO20,歩行者とバイクがいる画像,targets_met,14,402,84,10,5,10,5,3,2
val,CO21,自転車とバイクがいる画像,below_target,2,414,84,10,5,2,5,3,2
val,COL01,白い車がいる画像,targets_met,231,39,230,10,5,10,5,1,4
val,COL02,黒い車がいる画像,targets_met,153,53,294,10,5,10,5,0,5
val,COL03,赤い車がいる画像,targets_met,73,80,347,10,5,10,5,1,4
val,COL04,青い車がいる画像,targets_met,28,94,378,10,5,10,5,1,4
val,COL05,白いバスがいる画像,targets_met,27,365,108,10,5,10,5,2,3
val,COL06,黒いバスがいる画像,no_positive,0,390,110,10,5,0,0,0,0
val,COL07,赤いバスがいる画像,below_target,2,388,110,10,5,2,5,3,2
val,COL08,青いバスがいる画像,below_target,1,389,110,10,5,1,5,3,2
val,COL09,白いトラックがいる画像,targets_met,86,295,119,10,5,10,5,3,2
val,COL10,黒いトラックがいる画像,below_target,6,359,135,10,5,6,5,3,2
val,COL11,赤いトラックがいる画像,targets_met,13,353,134,10,5,10,5,3,2
val,COL12,青いトラックがいる画像,below_target,7,359,134,10,5,7,5,3,2
val,COL13,白いバンがいる画像,targets_met,88,310,102,10,5,10,5,3,2
val,COL14,黒いバンがいる画像,below_target,7,380,113,10,5,7,5,3,2
val,COL15,赤いバンがいる画像,below_target,6,380,114,10,5,6,5,3,2
val,COL16,青いバンがいる画像,below_target,3,383,114,10,5,3,5,3,2
val,COL17,白い自転車がいる画像,no_positive,0,375,125,10,5,0,0,0,0
val,COL18,黒い自転車がいる画像,no_positive,0,375,125,10,5,0,0,0,0
val,COL19,赤い自転車がいる画像,below_target,2,373,125,10,5,2,5,3,2
val,COL20,青い自転車がいる画像,no_positive,0,375,125,10,5,0,0,0,0
val,COL21,白いバイクがいる画像,no_positive,0,394,106,10,5,0,0,0,0
val,COL22,黒いバイクがいる画像,below_target,1,393,106,10,5,1,5,3,2
val,COL23,赤いバイクがいる画像,below_target,2,393,105,10,5,2,5,3,2
val,COL24,青いバイクがいる画像,no_positive,0,394,106,10,5,0,0,0,0
val,D01,逆走している自転車,deferred_temporal,0,0,500,0,0,0,0,0,0
val,D02,車両の陰から歩行者が飛び出す場面,deferred_temporal,0,0,500,0,0,0,0,0,0
val,D03,歩行者が急に車道を横断する場面,deferred_temporal,0,0,500,0,0,0,0,0,0
val,D04,前方の車が急停止する場面,deferred_temporal,0,0,500,0,0,0,0,0,0
val,D05,自車に車両が急接近する場面,deferred_temporal,0,0,500,0,0,0,0,0,0
val,D06,車が信号を無視して進む場面,deferred_temporal,0,0,500,0,0,0,0,0,0
val,ENV01,昼の道路の画像,targets_met,347,152,1,10,5,10,5,0,5
val,ENV02,夜の道路の画像,targets_met,146,354,0,10,5,10,5,0,5
val,ENV03,薄明の道路の画像,targets_met,12,480,8,10,5,10,5,3,2
val,ENV04,晴れた道路の画像,targets_met,212,93,195,10,5,10,5,0,5
val,ENV05,曇りの道路の画像,targets_met,91,229,180,10,5,10,5,1,4
val,ENV06,雨が降っている道路の画像,targets_met,20,459,21,10,5,10,5,3,2
val,ENV07,雪が降っている道路の画像,below_target,2,485,13,10,5,2,5,3,2
val,ENV08,霧のある道路の画像,below_target,4,451,45,10,5,4,5,3,2
val,H01,夜の画面左に自転車がいる画像,excluded_heldout,3,430,67,0,0,0,0,0,0
val,H02,薄明の画面右にバイクがいる画像,excluded_heldout,0,496,4,0,0,0,0,0,0
val,H03,霧のある道路の歩道上に歩行者がいる画像,excluded_heldout,0,458,42,0,0,0,0,0,0
val,H04,道路の工事区間と画面右の自転車が見える画像,excluded_heldout,0,478,22,0,0,0,0,0,0
val,H05,路面に雪があり画面左に歩行者がいる画像,excluded_heldout,3,489,8,0,0,0,0,0,0
val,H06,路面が濡れていて画面中央にバイクがいる画像,excluded_heldout,0,464,36,0,0,0,0,0,0
val,H07,赤信号と自車と同じ車線の車が見える画像,excluded_heldout,35,392,73,0,0,0,0,0,0
val,H08,画面右に青い車がいる画像,excluded_heldout,8,247,245,0,0,0,0,0,0
val,H09,画面中央に黒いバスがいる画像,excluded_heldout,0,407,93,0,0,0,0,0,0
val,H10,画面左に赤いトラックがいる画像,excluded_heldout,6,394,100,0,0,0,0,0,0
val,H11,画面右に青いバンがいる画像,excluded_heldout,0,402,98,0,0,0,0,0,0
val,H12,画面中央に白い自転車がいる画像,excluded_heldout,0,401,99,0,0,0,0,0,0
val,H13,画面中央に赤いバイクがいる画像,excluded_heldout,0,404,96,0,0,0,0,0,0
val,H14,画面左に後ろ姿が見えるバスがいる画像,excluded_heldout,9,410,81,0,0,0,0,0,0
val,H15,赤い車と画面右の自転車がいる画像,excluded_heldout,4,409,87,0,0,0,0,0,0
val,H16,白いバスと画面左の歩行者がいる画像,excluded_heldout,3,411,86,0,0,0,0,0,0
val,H17,青いトラックと画面右のバイクがいる画像,excluded_heldout,0,418,82,0,0,0,0,0,0
val,H18,黒いバンと画面左の自転車がいる画像,excluded_heldout,0,416,84,0,0,0,0,0,0
val,H19,赤い自転車と画面右の歩行者がいる画像,excluded_heldout,1,396,103,0,0,0,0,0,0
val,H20,白いバイクと画面中央の車がいる画像,excluded_heldout,0,409,91,0,0,0,0,0,0
val,LOC01,自車と同じ車線に車がいる画像,targets_met,255,98,147,10,5,10,5,3,2
val,LOC02,自車の左隣の車線に車がいる画像,targets_met,135,146,219,10,5,10,5,3,2
val,LOC03,自車の右隣の車線に車がいる画像,targets_met,153,148,199,10,5,10,5,3,2
val,LOC04,対向車線に車がいる画像,targets_met,107,169,224,10,5,10,5,3,2
val,LOC05,自車と同じ車線にバスがいる画像,targets_met,21,392,87,10,5,10,5,3,2
val,LOC06,自車の左隣の車線にバスがいる画像,below_target,8,406,86,10,5,8,5,3,2
val,LOC07,自車の右隣の車線にバスがいる画像,targets_met,13,400,87,10,5,10,5,3,2
val,LOC08,対向車線にバスがいる画像,below_target,2,411,87,10,5,2,5,3,2
val,LOC09,自車と同じ車線にトラックがいる画像,targets_met,39,354,107,10,5,10,5,3,2
val,LOC10,自車の左隣の車線にトラックがいる画像,targets_met,26,365,109,10,5,10,5,3,2
val,LOC11,自車の右隣の車線にトラックがいる画像,targets_met,43,352,105,10,5,10,5,3,2
val,LOC12,対向車線にトラックがいる画像,targets_met,15,377,108,10,5,10,5,3,2
val,LOC13,自車と同じ車線にバンがいる画像,targets_met,37,365,98,10,5,10,5,3,2
val,LOC14,自車の左隣の車線にバンがいる画像,targets_met,21,377,102,10,5,10,5,3,2
val,LOC15,自車の右隣の車線にバンがいる画像,targets_met,29,373,98,10,5,10,5,3,2
val,LOC16,対向車線にバンがいる画像,targets_met,12,387,101,10,5,10,5,3,2
val,LOC17,自車と同じ車線に自転車がいる画像,below_target,8,391,101,10,5,8,5,3,2
val,LOC18,自車の左隣の車線に自転車がいる画像,below_target,5,394,101,10,5,5,5,3,2
